pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
NCRNA 3'-END PROCESSING%GOBP%GO:0043628	0.005454545454545455	0.29078947368421054	0.4143828017823476	1.8251722451460488	2	35	
MITOCHONDRION LOCALIZATION%GOBP%GO:0051646	0.005649717514124294	0.29078947368421054	0.46118792456886337	1.8234813367342422	2	25	
VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME DATABASE ID RELEASE 75%180585	0.003738317757009346	0.2507736744377966	0.3744257746936095	1.8143567480794	1	51	
HEDGEHOG LIGAND BIOGENESIS%REACTOME%R-HSA-5358346.1	0.0037313432835820895	0.2507736744377966	0.3676977382481949	1.8104133040781385	1	55	
GLI3 IS PROCESSED TO GLI3R BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 75%5610785	0.0037593984962406013	0.2507736744377966	0.36624855663021594	1.8095532065062383	1	56	
DEGRADATION OF GLI2 BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 75%5610783	0.0037593984962406013	0.2507736744377966	0.36624855663021594	1.8095532065062383	1	56	
METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 75%351202	0.00375234521575985	0.2507736744377966	0.36998097916444406	1.8042473024469534	1	53	
SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME DATABASE ID RELEASE 75%187577	0.0056179775280898875	0.29078947368421054	0.35998481078265615	1.7974773952384526	2	59	
HH MUTANTS ARE DEGRADED BY ERAD%REACTOME%R-HSA-5362768.2	0.00375234521575985	0.2507736744377966	0.3659310083625695	1.7844972360765863	1	53	
HH MUTANTS ABROGATE LIGAND SECRETION%REACTOME DATABASE ID RELEASE 75%5387390	0.00375234521575985	0.2507736744377966	0.3659310083625695	1.7844972360765863	1	53	
MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	0.005484460694698354	0.29078947368421054	0.3978686638083211	1.7842325286469856	2	38	
COMPLEX I BIOGENESIS%REACTOME%R-HSA-6799198.1	0.005494505494505495	0.29078947368421054	0.37194292629741843	1.7832491188852986	2	48	
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0070972	0.0018214936247723133	0.2061916878710772	0.3030172080812029	1.7770169934208166	0	127	
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1	0.0037105751391465678	0.2507736744377966	0.3469499480251072	1.776827882020619	1	65	
NIK/NF-KAPPAB SIGNALING%GOBP%GO:0038061	0.0018148820326678765	0.2061916878710772	0.34243129725947724	1.7757071408270302	0	68	
REGULATION OF CELLULAR AMINO ACID METABOLIC PROCESS%GOBP%GO:0006521	0.00375234521575985	0.2507736744377966	0.3652296462937324	1.7738043782378077	1	52	
RIBOSOME ASSEMBLY%GOBP%GO:0042255	0.00375234521575985	0.2507736744377966	0.36234475411198247	1.7670085274080398	1	53	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	0.0018050541516245488	0.2061916878710772	0.307030213948161	1.7662402748757913	0	111	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	0.0018050541516245488	0.2061916878710772	0.307030213948161	1.7662402748757913	0	111	
APOPTOTIC NUCLEAR CHANGES%GOBP%GO:0030262	0.009578544061302681	0.36383500957854403	0.49777311819605263	1.7659099725345935	4	18	
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1904377	0.005545286506469501	0.29078947368421054	0.39017376643339	1.7627028146339603	2	40	
FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME%R-HSA-8854050.2	0.005628517823639775	0.29078947368421054	0.36192085189962275	1.7577346148915973	2	52	
PURINE RIBONUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0046128	0.005434782608695652	0.29078947368421054	0.3948349956634318	1.757379174909917	2	36	
CYTOSOLIC TRNA AMINOACYLATION%REACTOME%R-HSA-379716.1	0.013358778625954198	0.43013497800920075	0.45251657073453155	1.755133327806193	6	24	
HEDGEHOG 'ON' STATE%REACTOME DATABASE ID RELEASE 75%5632684	0.0037105751391465678	0.2507736744377966	0.3420792690517578	1.7518837704751908	1	65	
PLK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLK1 SIGNALING EVENTS	0.007366482504604052	0.32028985507246377	0.37656519217182394	1.7487944087624723	3	44	
SELECTIVE AUTOPHAGY%REACTOME DATABASE ID RELEASE 75%9663891	0.005628517823639775	0.29078947368421054	0.3600352134206461	1.7485766677651131	2	52	
INTERLEUKIN-1-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070498	0.0018796992481203006	0.2061916878710772	0.31880406973866504	1.746287854383634	0	89	
T CELL ACTIVATION%GOBP%GO:0042110	0.0018726591760299626	0.2061916878710772	0.30957824806206935	1.7461012848768525	0	103	
VIRAL TRANSLATION%GOBP%GO:0019081	0.00927643784786642	0.36383500957854403	0.48211017839909437	1.7459198117452441	4	19	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRIAL MEMBRANE%GOBP%GO:0090151	0.017045454545454544	0.45787292817679554	0.510266807907631	1.7410133665601928	8	16	
SCF-BETA-TRCP MEDIATED DEGRADATION OF EMI1%REACTOME%R-HSA-174113.3	0.00375234521575985	0.2507736744377966	0.3562704443734445	1.737386580396777	1	53	
GUANOSINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:1901068	0.015065913370998116	0.44377510040160645	0.4388720605958579	1.7352471066079516	7	25	
REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION%REACTOME%R-HSA-211733.1	0.005494505494505495	0.29078947368421054	0.36189263025473684	1.7350638186806184	2	48	
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME%R-HSA-1236975.1	0.003816793893129771	0.2507736744377966	0.31182605870027574	1.7345557993265444	1	95	
DOWNSTREAM TCR SIGNALING%REACTOME%R-HSA-202424.4	0.0038022813688212928	0.2507736744377966	0.3119617546234088	1.7231688042171385	1	92	
STABILIZATION OF P53%REACTOME DATABASE ID RELEASE 75%69541	0.003766478342749529	0.2507736744377966	0.3517566759574179	1.7226715827330048	1	54	
SNORNA METABOLIC PROCESS%GOBP%GO:0016074	0.01893939393939394	0.48834873443149857	0.5044906477575923	1.7213053003627339	9	16	
REGULATION OF CELLULAR AMINE METABOLIC PROCESS%GOBP%GO:0033238	0.007518796992481203	0.32028985507246377	0.34648030359050547	1.7118826354488026	3	56	
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA%GOBP%GO:0061418	0.0054249547920434	0.29078947368421054	0.3272024874334292	1.70562673037744	2	69	
CELLULAR RESPONSE TO HYPOXIA%REACTOME%R-HSA-1234174.2	0.0054446460980036296	0.29078947368421054	0.3288438909464153	1.7052484689459377	2	68	
PID_IL12_2PATHWAY%MSIGDB_C2%PID_IL12_2PATHWAY	0.007326007326007326	0.32028985507246377	0.3605418345200294	1.7048499620562898	3	46	
CROSS-PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS (ENDOSOMES)%REACTOME DATABASE ID RELEASE 75%1236978	0.007285974499089253	0.32028985507246377	0.3563271078822732	1.69827761464174	3	47	
VPU MEDIATED DEGRADATION OF CD4%REACTOME DATABASE ID RELEASE 75%180534	0.007380073800738007	0.32028985507246377	0.35062413318707936	1.697132041936354	3	50	
TCR SIGNALING%REACTOME%R-HSA-202403.5	0.0018050541516245488	0.2061916878710772	0.2950010363080179	1.69704051193245	0	111	
PROTEASOME DEGRADATION%WIKIPATHWAYS_20210210%WP183%HOMO SAPIENS	0.00929368029739777	0.36383500957854403	0.37856753534779963	1.688745399344696	4	37	
REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:2001185	0.020833333333333332	0.5090033500837521	0.49487992696052774	1.6885138408543654	10	16	
CELLULAR COMPONENT DISASSEMBLY INVOLVED IN EXECUTION PHASE OF APOPTOSIS%GOBP%GO:0006921	0.01855287569573284	0.48237476808905383	0.4658686203909817	1.6871024310499545	9	19	
INTERLEUKIN-1 SIGNALING%REACTOME DATABASE ID RELEASE 75%9020702	0.005780346820809248	0.2927504816955684	0.30318281836117755	1.686668017340703	2	97	
REGULATION OF RUNX3 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-8941858.1	0.007532956685499058	0.32028985507246377	0.3438432137588273	1.6839166780437356	3	54	
SYNTHESIS OF VERY LONG-CHAIN FATTY ACYL-COAS%REACTOME%R-HSA-75876.5	0.01855287569573284	0.48237476808905383	0.46484259749650636	1.6833867789458707	9	19	
TRANSCRIPTION BY RNA POLYMERASE I%GOBP%GO:0006360	0.011278195488721804	0.4031954887218045	0.39739632714977524	1.6814872422956801	5	31	
T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002286	0.015355086372360844	0.4470444906731642	0.4363754320207165	1.6763893360145308	7	23	
ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046631	0.014814814814814815	0.44377510040160645	0.4149841189588603	1.6748394640452633	7	26	
IFN-ALPHA%IOB%IFN-ALPHA	0.013157894736842105	0.4293535853055457	0.3945315387048928	1.669365577114486	6	31	
AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3	0.009380863039399626	0.36383500957854403	0.34354642743914765	1.668495871853256	4	52	
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	0.0036496350364963502	0.2507736744377966	0.2648082861135733	1.6621504841106856	1	185	
ESTABLISHMENT OR MAINTENANCE OF EPITHELIAL CELL APICAL/BASAL POLARITY%GOBP%GO:0045197	0.015065913370998116	0.44377510040160645	0.43599418066733303	1.6619008150346954	7	22	
P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 75%69563	0.003703703703703704	0.2507736744377966	0.3267413182918209	1.6612303578050942	1	63	
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 75%69580	0.003703703703703704	0.2507736744377966	0.3267413182918209	1.6612303578050942	1	63	
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184	0.0018214936247723133	0.2061916878710772	0.2883970140856857	1.660851099649819	0	112	
REGULATION OF STEM CELL DIFFERENTIATION%GOBP%GO:2000736	0.011131725417439703	0.4031954887218045	0.30916677455854635	1.6537445182728763	5	79	
REGULATION OF ORNITHINE DECARBOXYLASE (ODC)%REACTOME DATABASE ID RELEASE 75%350562	0.012750455373406194	0.4293535853055457	0.3469485424548992	1.6535787764943364	6	47	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590	0.00929368029739777	0.36383500957854403	0.3116921067103557	1.6522972197413246	4	76	
DEFECTIVE CFTR CAUSES CYSTIC FIBROSIS%REACTOME%R-HSA-5678895.3	0.0056179775280898875	0.29078947368421054	0.3324323344333546	1.6510706393659706	2	58	
CCR1%IOB%CCR1	0.02040816326530612	0.5046138169192157	0.4544978618056031	1.645924224120768	10	19	
FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME DATABASE ID RELEASE 75%140877	0.022556390977443608	0.5323746258851011	0.44712600551102594	1.6454401981692157	11	20	
UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D%REACTOME DATABASE ID RELEASE 75%75815	0.012681159420289856	0.4293535853055457	0.3395124656772426	1.6436921104646312	6	49	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 75%2022090	0.02631578947368421	0.582010582010582	0.4463582021240857	1.6426146533751527	13	20	
INTERLEUKIN-1 FAMILY SIGNALING%REACTOME%R-HSA-446652.7	0.0036101083032490976	0.2507736744377966	0.28270151093298423	1.6423733817666022	1	119	
ASYMMETRIC LOCALIZATION OF PCP PROTEINS%REACTOME DATABASE ID RELEASE 75%4608870	0.014787430683918669	0.44377510040160645	0.32857866272747827	1.6381239888626908	7	57	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT%GOBP%GO:0002479	0.007476635514018692	0.32028985507246377	0.31460839767832827	1.637227129732114	3	71	
UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.3	0.012915129151291513	0.4293535853055457	0.33821212884329654	1.6370540031401835	6	50	
P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69613.2	0.012915129151291513	0.4293535853055457	0.33821212884329654	1.6370540031401835	6	50	
P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME%R-HSA-69610.4	0.012915129151291513	0.4293535853055457	0.33821212884329654	1.6370540031401835	6	50	
WNT SIGNALING PATHWAY, PLANAR CELL POLARITY PATHWAY%GOBP%GO:0060071	0.007233273056057866	0.32028985507246377	0.3134222642260712	1.6337937891385097	3	69	
RESPONSE TO DSRNA%GOBP%GO:0043331	0.02411873840445269	0.5454529764062204	0.4509374395863121	1.6330304666990108	12	19	
REGULATION OF PH%GOBP%GO:0006885	0.009541984732824428	0.36383500957854403	0.3281929334362321	1.6326093013627407	4	60	
TAT-MEDIATED ELONGATION OF THE HIV-1 TRANSCRIPT%REACTOME DATABASE ID RELEASE 75%167246	0.0166358595194085	0.45609756097560983	0.3611150593851599	1.6314231922960412	8	40	
FORMATION OF HIV-1 ELONGATION COMPLEX CONTAINING HIV-1 TAT%REACTOME%R-HSA-167200.3	0.0166358595194085	0.45609756097560983	0.3611150593851599	1.6314231922960412	8	40	
HIV TRANSCRIPTION ELONGATION%REACTOME DATABASE ID RELEASE 75%167169	0.0166358595194085	0.45609756097560983	0.3611150593851599	1.6314231922960412	8	40	
SIGNALING BY NOTCH4%REACTOME%R-HSA-9013694.2	0.011152416356877323	0.4031954887218045	0.307670015180797	1.6309758885020624	5	76	
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:1903078	0.018484288354898338	0.48237476808905383	0.37493076651784063	1.6298410807467911	9	34	
ER-PHAGOSOME PATHWAY%REACTOME DATABASE ID RELEASE 75%1236974	0.00946969696969697	0.36383500957854403	0.3025124139813262	1.6270399448521553	4	81	
CELLULAR RESPONSE TO INTERLEUKIN-1%GOBP%GO:0071347	0.007220216606498195	0.32028985507246377	0.28185982952986866	1.626688855191918	3	114	
TRANSCRIPTION INITIATION FROM RNA POLYMERASE I PROMOTER%GOBP%GO:0006361	0.016822429906542057	0.45609756097560983	0.3910969908060721	1.625368363566663	8	29	
PID_ARF6_TRAFFICKING_PATHWAY%MSIGDB_C2%PID_ARF6_TRAFFICKING_PATHWAY	0.015151515151515152	0.44377510040160645	0.39759634065663163	1.6248750971598653	7	28	
AUTODEGRADATION OF THE E3 UBIQUITIN LIGASE COP1%REACTOME DATABASE ID RELEASE 75%349425	0.016605166051660517	0.45609756097560983	0.33552949051626546	1.6240691825565365	8	50	
REGULATION OF RNA STABILITY%GOBP%GO:0043487	0.0017761989342806395	0.2061916878710772	0.2641129530505224	1.6220854597717909	0	161	
ACTIVATION OF MAPKK ACTIVITY%GOBP%GO:0000186	0.024208566108007448	0.5454529764062204	0.39793032096055025	1.619480706780976	12	27	
CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0035710	0.030710172744721688	0.6056680161943321	0.4633450782477002	1.6151017598282797	15	17	
REGULATION OF MRNA STABILITY%GOBP%GO:0043488	0.0035650623885918	0.2507736744377966	0.26507203384628464	1.6142484061016615	1	153	
PURINE NUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0042278	0.014625228519195612	0.44377510040160645	0.35982337392062663	1.6136193340071292	7	38	
PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144	0.0017921146953405018	0.2061916878710772	0.26410710682006083	1.609097960878927	0	154	
DISORDERS OF TRANSMEMBRANE TRANSPORTERS%REACTOME DATABASE ID RELEASE 75%5619115	0.0070921985815602835	0.32028985507246377	0.27536082343299995	1.6058726739979576	3	121	
SIGNALING BY HEDGEHOG%REACTOME DATABASE ID RELEASE 75%5358351	0.0056179775280898875	0.29078947368421054	0.28455708459797263	1.6049754598317625	2	103	
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2	0.016605166051660517	0.45609756097560983	0.33138194388351266	1.6039937410234966	8	50	
PARKIN-UBIQUITIN PROTEASOMAL SYSTEM PATHWAY%WIKIPATHWAYS_20210210%WP2359%HOMO SAPIENS	0.024163568773234202	0.5454529764062204	0.35895639075429053	1.6012623821394685	12	37	
THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT%REACTOME DATABASE ID RELEASE 75%8852276	0.02033271719038817	0.5046138169192157	0.32080334825945434	1.5993602753418739	10	57	
FCERI MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 75%2871837	0.0036101083032490976	0.2507736744377966	0.2777916927035059	1.5980410180793883	1	111	
POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION%GOBP%GO:0031116	0.023032629558541268	0.5383877159309022	0.41592919018995306	1.597842609385249	11	23	
NEUREXINS AND NEUROLIGINS%REACTOME%R-HSA-6794361.4	0.02819548872180451	0.5883539320404014	0.43413892101282636	1.5976472480232398	14	20	
PID_IL23_PATHWAY%MSIGDB_C2%PID_IL23_PATHWAY	0.032567049808429116	0.630840622185587	0.45021819737064506	1.5972031744796513	16	18	
ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 75%5619084	0.012939001848428836	0.4293535853055457	0.3124340780278957	1.5960984718837707	6	64	
'DE NOVO' POSTTRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	0.03165735567970205	0.6206373520754491	0.3914732869879121	1.5932021313849747	16	27	
HALLMARK_PEROXISOME%MSIGDB_C2%HALLMARK_PEROXISOME	0.016423357664233577	0.45609756097560983	0.30859700025434944	1.5891728905205702	8	66	
MITOTIC G2 DNA DAMAGE CHECKPOINT%GOBP%GO:0007095	0.0421455938697318	0.718989043489951	0.44761381381210863	1.587963810741023	21	18	
G1 S DNA DAMAGE CHECKPOINTS%REACTOME DATABASE ID RELEASE 75%69615	0.012987012987012988	0.4293535853055457	0.3094660193931973	1.5848621823571367	6	65	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205	0.008818342151675485	0.3624031007751938	0.26047747056645704	1.5845907477864762	4	151	
DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS	0.01289134438305709	0.4293535853055457	0.3439042873755097	1.5824649815908316	6	43	
